sample,model,horizon_months,q1_mean,q2_mean,q3_mean,q4_mean,q5_mean,ls_spread,ls_xsec_sharpe,n_obs,constant_pred_flag,cal_n_cohorts,cal_avg_cohort_size,cal_ls_mean,cal_ls_std,cal_ls_sharpe_ann
full,text_tabular,12,-0.32580514070167904,-0.10793092936634689,-0.29720710604418543,-0.18951540572404768,-0.024821937435640477,0.30098320326603856,0.19668066898241737,1589,False,56,27.928571428571427,0.10939147371173281,0.49507605882017786,0.44191784984483007
full,text_tabular,24,-0.4186794510670601,-0.25560329038837254,-0.26292103455582544,-0.1743924812437556,0.005074351953830534,0.42375380302089066,0.192577721395219,1565,False,56,27.517857142857142,0.13048057627831636,0.7905687787017959,0.3300929148570232
multimodal,full_multimodal,3,-0.1871491949762037,0.002483770702824448,-0.08224378526916332,0.04961005475541408,-0.03639564299156695,0.15075355198463675,0.1822062844505148,332,False,28,9.285714285714286,0.17742932551496085,0.3684023713305598,0.9632366093309275
multimodal,full_multimodal,6,-0.24656354300260766,-0.24750451187080189,-0.16342155108312992,-0.02385996317025274,-0.13783625641548441,0.10872728658712325,0.10289060524002426,331,False,28,9.25,0.149006308914007,0.42669363627769324,0.6984229257032244
multimodal,full_multimodal,12,-0.43453490928831423,-0.21563543683777636,-0.1418842178148528,-0.12226452701366865,-0.036162689589246205,0.398372219699068,0.18865711463880608,328,False,27,9.37037037037037,0.286162289560853,0.7936063975142678,0.7211693112786638
multimodal,full_multimodal,24,-0.5991840053063172,-0.4097283136887619,-0.20600148446571367,-0.12171051668433043,-0.0242527702715821,0.5749312350347351,0.2572336509755274,325,False,27,9.25925925925926,0.3382757327893036,1.0477931618187935,0.6456918123079055
multimodal,image_only,3,-0.1850969307472123,0.03801140291122437,-0.09962936614950496,-0.002577027715178142,-0.00491101087119653,0.1801859198760158,0.16850762432657349,332,False,28,9.285714285714286,0.261204890038685,0.36325858228236985,1.4381209572394578
multimodal,image_only,6,-0.33692655010746597,-0.25241608803568827,-0.034081839794067266,-0.08776573328103758,-0.10662647785273183,0.23030007225473415,0.24780309564530353,331,False,28,9.25,0.12051451355312434,0.659154018299229,0.3656642004977224
multimodal,image_only,12,-0.3166306570637971,-0.25532522942297736,-0.17558077810275735,-0.17578642379779083,-0.02857099048031325,0.28805966658348386,0.13492354288501565,328,False,27,9.37037037037037,0.23761625017073967,0.8058106852484392,0.5897570099792864
multimodal,image_only,24,-0.51895475009313,-0.45067455840941806,0.05990285463631153,-0.1511872583319648,-0.2999633782185041,0.21899137187462586,0.11299856345469485,325,False,27,9.25925925925926,0.42689045829537475,0.7271807762088457,1.1740972046069935
multimodal,naive_mean,3,,,,,,,,332,True,0,,,,
multimodal,naive_mean,6,,,,,,,,331,True,0,,,,
multimodal,naive_mean,12,,,,,,,,328,True,0,,,,
multimodal,naive_mean,24,,,,,,,,325,True,0,,,,
multimodal,tabular_only,3,-0.08750650183290744,0.014044102891630522,-0.1476642670229811,0.034646777217417504,-0.06824212436175056,0.019264377471156877,0.0231412911431309,332,False,28,9.285714285714286,0.0015701985816815134,0.39276779287745905,0.007995556713945763
multimodal,tabular_only,6,-0.2904437755915656,0.06904438444392079,-0.16203908585025187,-0.14813130774365907,-0.28695118879179726,0.003492586799768327,0.00775789780641071,331,False,28,9.25,-0.004614681170122439,0.33238909594304433,-0.02776674220933635
multimodal,tabular_only,12,-0.10588420581806338,-0.27068542250646993,-0.08178355278108608,-0.18791882086258668,-0.306038631295616,-0.2001544254775526,-0.10326714517706889,328,False,27,9.37037037037037,0.07989606646774912,0.6317478707944746,0.252936559540037
multimodal,tabular_only,24,-0.450596360110033,-0.3677619795100047,-0.3329268419255431,0.12312937300079144,-0.332721281871916,0.11787507823811699,0.05969604998690326,325,False,27,9.25925925925926,0.19424538970120064,1.0387618749731073,0.37399406809424823
multimodal,text_only,3,-0.2153230778918143,-0.02572590974865084,0.09356385245425344,-0.06860157784257988,-0.03716948288909869,0.1781535950027156,0.20987518027727547,332,False,28,9.285714285714286,-0.022487512437787485,0.39501806289971636,-0.11385561598228186
multimodal,text_only,6,-0.31909904629687097,-0.18824408120108824,-0.08836291862495603,-0.15890551898910693,-0.06347523765306863,0.25562380864380235,0.27673499003017776,331,False,28,9.25,0.08193098124299598,0.3703725942531866,0.44242464218066846
multimodal,text_only,12,-0.3427358531308445,-0.3979088077178368,-0.0758604023351588,-0.03892027498581088,-0.09655536841742243,0.24618048471342205,0.16139664539077986,328,False,27,9.37037037037037,-0.17586333034100168,0.6892556664394028,-0.5102992660168809
multimodal,text_only,24,-0.6077475496782706,-0.29955836813896897,-0.25869140909411587,-0.2329542759949198,0.038074512489569876,0.6458220621678404,0.283666367267735,325,False,27,9.25925925925926,0.2562843121122569,1.1209448986399695,0.4572647815663444
multimodal,text_tabular,3,-0.22789808692334138,-0.044698755750714816,0.0979302272863799,-0.043384348395082976,-0.035046862608600245,0.19285122431474114,0.2451062503783486,332,False,28,9.285714285714286,-0.015847842914323954,0.42378317065238874,-0.07479222400421023
multimodal,text_tabular,6,-0.2837034205822691,-0.25278492109624273,-0.12134012158860445,-0.05774613483950044,-0.10304850201778622,0.1806549185644829,0.1916184385945898,331,False,28,9.25,0.01813091838737906,0.5134654974446433,0.07062175931045397
multimodal,text_tabular,12,-0.41453542052344844,-0.31276356383011894,-0.030130800424200115,-0.09717729560887585,-0.09696622887823844,0.31756919164521,0.2111711294008742,328,False,27,9.37037037037037,-0.1181449900749197,0.8652357112686396,-0.2730931896042323
multimodal,text_tabular,24,-0.558416870351021,-0.5754136346853697,0.03276586632889051,-0.3042078635798624,0.04439541187065725,0.6028122822216783,0.25828290120377784,325,False,27,9.25925925925926,0.48755313249960275,1.3158605240828711,0.741040746456647
