cik,ticker,ipo_date,permno,crsp_ticker,siccd,crsp_start,crsp_end,matched
1487918,OFS,2012-11-07,13698.0,OFS,6726.0,2024-12-31,2025-12-31,True
1551901,SCM,2012-11-07,13692.0,SCM,6726.0,2024-12-31,2025-12-31,True
1527541,WHLR,2012-11-16,13700.0,WHLR,6798.0,2024-12-31,2025-12-31,True
1522727,ALDW,2012-11-19,,,,,,False
1985337,YY,2012-11-20,13701.0,YY,5812.0,2024-12-31,2025-12-31,True
1515324,ARDC,2012-11-28,13679.0,ARDC,6722.0,2024-12-31,2025-12-31,True
1552198,WHF,2012-12-04,13714.0,WHF,6726.0,2024-12-31,2025-12-31,True
1423902,WGP,2012-12-06,,,,,,False
1534504,PBF,2012-12-12,13730.0,PBF,2911.0,2024-12-31,2025-12-31,True
1539190,SPPP,2012-12-19,13737.0,SPPP,6726.0,2024-12-31,2025-12-31,True
1554697,GHY,2012-12-21,13732.0,GHY,7389.0,2024-12-31,2025-12-31,True
1522727,USAC,2013-01-14,13749.0,USAC,4922.0,2024-12-31,2025-12-31,True
1425292,CVRR,2013-01-16,,,,,,False
2103884,CONE,2013-01-17,,,,,,False
1513761,NCLH,2013-01-17,13760.0,NCLH,6719.0,2024-12-31,2025-12-31,True
1514705,SXCP,2013-01-17,,,,,,False
1437578,BFAM,2013-01-25,13739.0,BFAM,8351.0,2024-12-31,2025-12-31,True
1347242,LIPO,2013-01-25,23625.0,LIPO,2834.0,2024-12-31,2025-06-20,True
1495240,LAND,2013-01-28,13756.0,LAND,6798.0,2024-12-31,2025-12-31,True
1510599,PCI,2013-01-28,27085.0,PCI,6726.0,2025-08-01,2025-12-31,True
1561680,TPH,2013-01-30,13748.0,TPH,1522.0,2024-12-31,2025-12-31,True
1555280,ZTS,2013-01-31,13788.0,ZTS,2834.0,2024-12-31,2025-12-31,True
1328581,BCC,2013-02-05,13766.0,BCC,2421.0,2024-12-31,2025-12-31,True
1784440,HIIQ,2013-02-07,,,,,,False
1383650,NSLP,2013-02-07,,,,,,False
